ano_campeonato;data;rodada;estadio;arbitro;publico;publico_max;time_mandante;time_visitante;tecnico_mandante;tecnico_visitante;colocacao_mandante;colocacao_visitante;valor_equipe_titular_mandante;valor_equipe_titular_visitante;idade_media_titular_mandante;idade_media_titular_visitante;gols_mandante;gols_visitante;gols_1_tempo_mandante;gols_1_tempo_visitante;escanteios_mandante;escanteios_visitante;faltas_mandante;faltas_visitante;chutes_bola_parada_mandante;chutes_bola_parada_visitante;defesas_mandante;defesas_visitante;impedimentos_mandante;impedimentos_visitante;chutes_mandante;chutes_visitante;chutes_fora_mandante;chutes_fora_visitante
2023;23/11/2023;29;;;25206;25206;Fortaleza;Botafogo;;;9;1;;;;;2;2;;;;;;;;;;;;;;;;
2023;28/10/2023;30;;;33747;33747;Palmeiras;EC Bahia;;;2;15;;;;;1;0;;;;;;;;;;;;;;;;
2023;28/10/2023;30;;;1836;1836;América-MG;Grêmio;;;20;5;;;;;3;4;;;;;;;;;;;;;;;;
2023;28/10/2023;30;;;19358;19358;Atlético-MG;Fluminense;;;6;8;;;;;2;0;;;;;;;;;;;;;;;;
2023;29/10/2023;30;;;10145;10145;Goiás;Vasco da Gama;;;17;18;;;;;1;1;;;;;;;;;;;;;;;;
2023;29/10/2023;30;;;26579;26579;Athletico-PR;São Paulo;;;7;12;;;;;1;1;;;;;;;;;;;;;;;;
2023;29/10/2023;30;;;41950;41950;Corinthians;Santos;;;14;16;;;;;1;1;;;;;;;;;;;;;;;;
2023;29/10/2023;30;;;36272;36272;Internacional;Coritiba FC;;;13;19;;;;;3;4;;;;;;;;;;;;;;;;
2023;29/10/2023;30;;;27859;31736;Botafogo;Cuiabá-MT;;;1;10;;;;;0;1;;;;;;;;;;;;;;;;
2023;18/11/2023;30;;;30144;30144;Fortaleza;Cruzeiro;;;9;11;;;;;0;1;;;;;;;;;;;;;;;;
2023;23/11/2023;30;;;54804;55863;Flamengo;RB Bragantino;;;3;4;;;;;1;0;;;;;;;;;;;;;;;;
2023;31/10/2023;31;;;33936;33936;EC Bahia;Fluminense;;;15;8;;;;;1;0;;;;;;;;;;;;;;;;
2023;01/11/2023;31;;;29612;29612;Corinthians;Athletico-PR;;;13;7;;;;;1;0;;;;;;;;;;;;;;;;
2023;01/11/2023;31;;;15441;15441;Internacional;América-MG;;;14;20;;;;;1;1;;;;;;;;;;;;;;;;
2023;01/11/2023;31;;;64708;64708;Flamengo;Santos;;;5;16;;;;;1;2;;;;;;;;;;;;;;;;
2023;01/11/2023;31;;;21767;21767;Coritiba FC;Grêmio;;;19;4;;;;;1;2;;;;;;;;;;;;;;;;
2023;01/11/2023;31;;;33200;37084;Botafogo;Palmeiras;;;1;2;;;;;3;4;;;;;;;;;;;;;;;;
2023;01/11/2023;31;;;24949;24949;Atlético-MG;Fortaleza;;;6;9;;;;;3;1;;;;;;;;;;;;;;;;
2023;02/11/2023;31;;;23201;23201;Cuiabá-MT;Vasco da Gama;;;11;17;;;;;0;2;;;;;;;;;;;;;;;;
2023;02/11/2023;31;;;7191;7191;Goiás;RB Bragantino;;;18;3;;;;;0;2;;;;;;;;;;;;;;;;
2023;02/11/2023;31;;;50570;50570;São Paulo;Cruzeiro;;;10;12;;;;;1;0;;;;;;;;;;;;;;;;
2023;04/11/2023;32;;;37797;37797;Grêmio;EC Bahia;;;4;16;;;;;1;0;;;;;;;;;;;;;;;;
2023;04/11/2023;32;;;4401;4401;América-MG;Atlético-MG;;;20;6;;;;;1;1;;;;;;;;;;;;;;;;
2023;04/11/2023;32;;;17301;17301;Palmeiras;Athletico-PR;;;2;7;;;;;1;0;;;;;;;;;;;;;;;;
2023;05/11/2023;32;;;10631;10631;RB Bragantino;Corinthians;;;3;14;;;;;1;0;;;;;;;;;;;;;;;;
2023;05/11/2023;32;;;33350;33350;Cruzeiro;Internacional;;;13;11;;;;;1;2;;;;;;;;;;;;;;;;
2023;05/11/2023;32;;;48539;48539;Fortaleza;Flamengo;;;9;5;;;;;0;2;;;;;;;;;;;;;;;;
2023;05/11/2023;32;;;11269;11269;Coritiba FC;Goiás;;;19;18;;;;;0;1;;;;;;;;;;;;;;;;
2023;06/11/2023;32;;;20557;21215;Vasco da Gama;Botafogo;;;17;1;;;;;1;0;;;;;;;;;;;;;;;;
2023;06/11/2023;32;;;12923;12923;Santos;Cuiabá-MT;;;15;12;;;;;0;0;;;;;;;;;;;;;;;;
2023;22/11/2023;32;;;42181;51157;Fluminense;São Paulo;;;8;10;;;;;1;0;;;;;;;;;;;;;;;;
2023;08/11/2023;33;;;19385;19385;Internacional;Fluminense;;;12;8;;;;;0;0;;;;;;;;;;;;;;;;
2023;08/11/2023;33;;;1088;1088;América-MG;Coritiba FC;;;20;19;;;;;0;3;;;;;;;;;;;;;;;;
2023;08/11/2023;33;;;11948;11948;São Paulo;RB Bragantino;;;9;5;;;;;1;0;;;;;;;;;;;;;;;;
2023;08/11/2023;33;;;18904;18904;Athletico-PR;Fortaleza;;;7;11;;;;;1;1;;;;;;;;;;;;;;;;
2023;08/11/2023;33;;;60997;61781;Flamengo;Palmeiras;;;4;3;;;;;3;0;;;;;;;;;;;;;;;;
2023;09/11/2023;33;;;30115;30115;Corinthians;Atlético-MG;;;15;6;;;;;1;1;;;;;;;;;;;;;;;;
2023;09/11/2023;33;;;8882;8882;Goiás;Santos;;;18;13;;;;;0;1;;;;;;;;;;;;;;;;
2023;09/11/2023;33;;;17030;20058;Botafogo;Grêmio;;;1;2;;;;;3;4;;;;;;;;;;;;;;;;
2023;09/11/2023;33;;;33266;33266;EC Bahia;Cuiabá-MT;;;17;10;;;;;0;3;;;;;;;;;;;;;;;;
2023;22/11/2023;33;;;0;0;Cruzeiro;Vasco da Gama;;;14;16;;;;;2;2;;;;;;;;;;;;;;;;
2023;11/11/2023;34;;;6137;6137;Coritiba FC;Cruzeiro;;;19;16;;;;;1;0;;;;;;;;;;;;;;;;
2023;11/11/2023;34;;;59979;60868;Flamengo;Fluminense;;;3;8;;;;;1;1;;;;;;;;;;;;;;;;
2023;11/11/2023;34;;;19358;19358;Palmeiras;Internacional;;;1;13;;;;;3;0;;;;;;;;;;;;;;;;
2023;12/11/2023;34;;;9869;9869;RB Bragantino;Botafogo;;;5;2;;;;;2;2;;;;;;;;;;;;;;;;
2023;12/11/2023;34;;;49459;49459;Grêmio;Corinthians;;;4;12;;;;;0;1;;;;;;;;;;;;;;;;
2023;12/11/2023;34;;;19058;20102;Vasco da Gama;América-MG;;;15;20;;;;;2;1;;;;;;;;;;;;;;;;
2023;12/11/2023;34;;;13442;13442;Santos;São Paulo;;;14;10;;;;;0;0;;;;;;;;;;;;;;;;
2023;12/11/2023;34;;;25095;25095;Atlético-MG;Goiás;;;6;18;;;;;2;1;;;;;;;;;;;;;;;;
2023;12/11/2023;34;;;33214;33214;EC Bahia;Athletico-PR;;;17;7;;;;;1;1;;;;;;;;;;;;;;;;
2023;12/11/2023;34;;;12420;12420;Cuiabá-MT;Fortaleza;;;9;11;;;;;2;1;;;;;;;;;;;;;;;;
2023;24/11/2023;35;;;39133;39133;Corinthians;EC Bahia;;;14;17;;;;;1;5;;;;;;;;;;;;;;;;
2023;25/11/2023;35;;;21053;21053;Athletico-PR;Vasco da Gama;;;8;16;;;;;0;0;;;;;;;;;;;;;;;;
2023;25/11/2023;35;;;18652;29650;Fluminense;Coritiba FC;;;7;19;;;;;2;1;;;;;;;;;;;;;;;;
2023;26/11/2023;35;;;26548;33793;Botafogo;Santos;;;3;15;;;;;1;1;;;;;;;;;;;;;;;;
2023;26/11/2023;35;;;34474;34474;Atlético-MG;Grêmio;;;4;5;;;;;3;0;;;;;;;;;;;;;;;;
2023;26/11/2023;35;;;34252;24252;São Paulo;Cuiabá-MT;;;10;9;;;;;0;0;;;;;;;;;;;;;;;;
2023;26/11/2023;35;;;22471;22471;Internacional;RB Bragantino;;;11;6;;;;;1;0;;;;;;;;;;;;;;;;
2023;26/11/2023;35;;;39504;39504;Fortaleza;Palmeiras;;;12;1;;;;;2;2;;;;;;;;;;;;;;;;
2023;26/11/2023;35;;;39598;39598;América-MG;Flamengo;;;20;2;;;;;0;3;;;;;;;;;;;;;;;;
2023;27/11/2023;35;;;6493;6493;Goiás;Cruzeiro;;;18;13;;;;;0;1;;;;;;;;;;;;;;;;
2023;28/11/2023;36;;;20220;21452;Vasco da Gama;Corinthians;;;16;13;;;;;2;4;;;;;;;;;;;;;;;;
2023;29/11/2023;36;;;12855;12885;Santos;Fluminense;;;15;7;;;;;0;3;;;;;;;;;;;;;;;;
2023;29/11/2023;36;;;59921;60422;Flamengo;Atlético-MG;;;4;3;;;;;0;3;;;;;;;;;;;;;;;;
2023;29/11/2023;36;;;7809;7809;Cuiabá-MT;Internacional;;;12;10;;;;;0;2;;;;;;;;;;;;;;;;
2023;29/11/2023;36;;;45756;45756;EC Bahia;São Paulo;;;17;9;;;;;0;1;;;;;;;;;;;;;;;;
2023;29/11/2023;36;;;0;0;Coritiba FC;Botafogo;;;19;2;;;;;1;1;;;;;;;;;;;;;;;;
2023;29/11/2023;36;;;29717;29717;Palmeiras;América-MG;;;1;20;;;;;4;0;;;;;;;;;;;;;;;;
2023;29/11/2023;36;;;36875;36875;Grêmio;Goiás;;;5;18;;;;;2;1;;;;;;;;;;;;;;;;
2023;30/11/2023;36;;;33805;33805;Cruzeiro;Athletico-PR;;;14;8;;;;;1;1;;;;;;;;;;;;;;;;
2023;30/11/2023;36;;;4516;4516;RB Bragantino;Fortaleza;;;6;11;;;;;1;2;;;;;;;;;;;;;;;;
2023;02/12/2023;37;;;40338;40338;Corinthians;Internacional;;;13;9;;;;;1;2;;;;;;;;;;;;;;;;
2023;02/12/2023;37;;;48046;48046;Atlético-MG;São Paulo;;;2;11;;;;;2;1;;;;;;;;;;;;;;;;
2023;03/12/2023;37;;;29986;29986;Palmeiras;Fluminense;;;1;7;;;;;1;0;;;;;;;;;;;;;;;;
2023;03/12/2023;37;;;60067;61076;Flamengo;Cuiabá-MT;;;3;12;;;;;2;1;;;;;;;;;;;;;;;;
2023;03/12/2023;37;;;1600;1600;América-MG;EC Bahia;;;20;17;;;;;3;2;;;;;;;;;;;;;;;;
2023;03/12/2023;37;;;49312;49312;Fortaleza;Goiás;;;10;18;;;;;1;0;;;;;;;;;;;;;;;;
2023;03/12/2023;37;;;21056;21056;Athletico-PR;Santos;;;8;15;;;;;3;0;;;;;;;;;;;;;;;;
2023;03/12/2023;37;;;48106;48106;Grêmio;Vasco da Gama;;;4;16;;;;;1;0;;;;;;;;;;;;;;;;
2023;03/12/2023;37;;;3442;3442;RB Bragantino;Coritiba FC;;;6;19;;;;;1;0;;;;;;;;;;;;;;;;
2023;03/12/2023;37;;;13159;21584;Botafogo;Cruzeiro;;;5;14;;;;;0;0;;;;;;;;;;;;;;;;
2023;06/12/2023;38;;;793;793;Goiás;América-MG;;;18;20;;;;;1;0;;;;;;;;;;;;;;;;
2023;06/12/2023;38;;;40764;49652;Fluminense;Grêmio;;;7;2;;;;;2;3;;;;;;;;;;;;;;;;
2023;06/12/2023;38;;;19729;20708;Vasco da Gama;RB Bragantino;;;15;6;;;;;2;1;;;;;;;;;;;;;;;;
2023;06/12/2023;38;;;36618;36618;São Paulo;Flamengo;;;11;4;;;;;1;0;;;;;;;;;;;;;;;;
2023;06/12/2023;38;;;14130;14130;Santos;Fortaleza;;;17;10;;;;;1;2;;;;;;;;;;;;;;;;
2023;06/12/2023;38;;;37724;37724;Cruzeiro;Palmeiras;;;14;1;;;;;1;1;;;;;;;;;;;;;;;;
2023;06/12/2023;38;;;27844;27844;Internacional;Botafogo;;;9;5;;;;;3;1;;;;;;;;;;;;;;;;
2023;06/12/2023;38;;;0;0;Coritiba FC;Corinthians;;;19;13;;;;;0;2;;;;;;;;;;;;;;;;
2023;06/12/2023;38;;;27743;27743;EC Bahia;Atlético-MG;;;16;3;;;;;4;1;;;;;;;;;;;;;;;;
2023;06/12/2023;38;;;8181;8181;Cuiabá-MT;Athletico-PR;;;12;8;;;;;3;0;;;;;;;;;;;;;;;;
